--技能的相关文字,这里命名规范一下
--S1L1name其中s1表示是技能1,L1表示是等级1,Name表示是名字,Desc表示说明,其他...
Skill=
{
s0Name="Thử nghiệm",	s0Desc="Thử nghiệm",
s185Name="Hôn Gió",	s185Desc="Dùng lên người chơi mục tiêu, sẽ có hình trái tim bay đến mục tiêu. Cả hai người chơi đều nhận được điểm mị lực nhất định",
s186Name="Trêu Ghẹo",	s186Desc="Dùng lên người chơi mục tiêu, cả hai nhận được điểm mị lực nhất định, nói ra những lời trêu ghẹo, đùa giỡn với mục tiêu",
s187Name="Tung Hoa",	s187Desc="Tung hoa trên đỉnh đầu người chơi, người dùng nhận được điểm mị lực nhất định",
s188Name="Thêm Máu",	s188Desc="Tăng một tỷ lệ phần trăm máu nhất định cho bảo bối đang hộ tống",
s189Name="Thêm Công",    s189Desc="Sau khi dùng, giết người diệt quái dùng kỹ năng mỗi tầng tăng 1000 sát thương đầu ra, có thể cộng dồn 10 tầng lên 10000; Mỗi lần chết số tầng giảm một nửa, nếu không thoát hoạt động giữa chừng sẽ luôn có hiệu lực cho đến khi hoạt động kết thúc; Lần đầu miễn phí, sau đó mỗi lần sử dụng tốn 200 KNB",
s190Name="Giảm Tốc",    s190Desc="Sau khi dùng giảm một nửa tốc độ người chơi mục tiêu, kéo dài 10 giây; Lần đầu miễn phí, sau đó mỗi lần sử dụng tốn 100 KNB, dùng tối đa 10 lần",
s191Name="Chúc Phúc",  s191Desc="Sau khi dùng tăng một nửa tốc độ di chuyển của bản thân, kéo dài 5 giây; Lần đầu miễn phí, sau đó mỗi lần sử dụng tốn 50 KNB, dùng tối đa 10 lần",
s192Name="Xung Phong",  s192Desc="(c0xFF00FFFF)Cấp 12 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.",
s193Name="Hàn Băng Nhận",  s193Desc="(c0xFF00FFFF)Cấp 12 có thể học, sách kỹ năng có thể nhận qua nhiệm vụ chính tuyến hoặc mua ở hiệu sách.",

s194Name="Phòng Ngự Biến Hóa",  s194Desc="Kỹ năng BOSS bản đồ cấp 30 Huyết Điểu",
s195Name="Sát Thương Biến Hóa",  s195Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s196Name="Tốc Độ Biến Hóa",  s196Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s197Name="Trạng Thái Biến Hóa",  s197Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s198Name="Lượng Máu Biến Hóa",  s198Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s199Name="Trạng Thái Tăng Ích",  s199Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s200Name="Trạng Thái Giảm Ích",  s200Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s201Name="Trạng Thái Tăng Ích",  s201Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s202Name="Trạng Thái Trầm Mặc (Cấm kỹ năng triệu hồi)",  s202Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s203Name="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",  s203Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s204Name="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",  s204Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s205Name="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",  s205Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",
s206Name="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",  s206Desc="Kỹ năng BOSS bản đồ cấp 35 Trầm Luân Ma",


s207Name="Gia Tốc",  s207Desc="Sau khi dùng, bản thân tăng tốc, kéo dài 5 giây",
s208Name="Giảm Tốc",  s208Desc="Thi triển lên người chơi mục tiêu sẽ khiến đối phương giảm tốc, kéo dài 5 giây",
s209Name="Định Thân",  s209Desc="Thi triển lên người chơi mục tiêu sẽ khiến đối phương định thân, kéo dài 3 giây",
s210Name="Tàng Hình",  s210Desc="Bản thân sử dụng sẽ tàng hình không bị tấn công, kéo dài 5 giây",
s211Name="Khinh Bỉ",  s211Desc="Bản thân sử dụng có thể khinh bỉ người chơi khác",
s212Name="Vỏ Chuối",  s212Desc="Thi triển ra đất sẽ xuất hiện một vỏ chuối khiến người chơi khác bị giảm tốc",
s213Name="Hỗn Loạn Quần Thể",  s213Desc="Thi triển ra đất sẽ khiến người chơi đến gần mất kiểm soát trong 3 giây",
s214Name="Hỗn Loạn Đơn Thể",  s214Desc="Kỹ năng hỗn loạn đơn thể kích hoạt sau khi giẫm phải vỏ chuối",

s224Name="Ẩn Thân Thuật(Giới)",  s224Desc="Ẩn Thân Thuật(Giới)",
s225Name="Đại Vẫn Thạch Thuật(Giới)",  s225Desc="Đại Vẫn Thạch Thuật(Giới)",
s226Name="Thuấn Gian Truyền Tống Thuật(Giới)",  s226Desc="Thuấn Gian Truyền Tống Thuật(Giới)",
s255Name="Dũng Giả Chi Tâm",  s255Desc="Dũng Giả Chi Tâm",
s256Name="Lưu Tinh Hỏa Vũ",  s256Desc="<(c0xFF00FFFF)Chuyển sinh 3 có thể học, sách kỹ năng có thể mua qua Thương thành.>",
s257Name="Giải Độc Thuật",  s257Desc="<(c0xFF00FFFF)Chuyển sinh 3 có thể học, sách kỹ năng có thể mua qua Thương thành.>",
s258Name="Xung Phong",  s258Desc="<(c0xFF00FFFF)Chuyển sinh 3 có thể học, sách kỹ năng có thể mua qua Thương thành.>",

s0L1Desc="Thử nghiệm",
s1L1Desc="Kỹ năng bị động; Tăng 3 điểm chính xác, tăng 10 điểm tốc độ tấn công.",
s1L2Desc="Kỹ năng bị động; Tăng 5 điểm chính xác, tăng 20 điểm tốc độ tấn công.",
s1L3Desc="Kỹ năng bị động; Tăng 8 điểm chính xác, tăng 30 điểm tốc độ tấn công.",
s2L1Desc="Kỹ năng bị động; Tăng 3 điểm chính xác, khi thi triển tấn công vật lý, có 10% tỷ lệ gây thêm 48 sát thương.",
s2L2Desc="Kỹ năng bị động; Tăng 3 điểm chính xác, khi thi triển tấn công vật lý, có 10% tỷ lệ gây thêm 72 sát thương.",
s2L3Desc="Kỹ năng bị động; Tăng 3 điểm chính xác, khi thi triển tấn công vật lý, có 10% tỷ lệ gây thêm 108 sát thương.",
s3L1Desc="Tấn công mục tiêu 2 ô phía trước, gây 100% sát thương vật lý cho mục tiêu cách 1 ô, gây 50% sát thương cho mục tiêu cách 2 ô và bỏ qua phòng ngự",
s3L2Desc="Tấn công mục tiêu 2 ô phía trước, gây 105% sát thương vật lý cho mục tiêu cách 1 ô, gây 75% sát thương cho mục tiêu cách 2 ô và bỏ qua phòng ngự",
s3L3Desc="Tấn công mục tiêu 2 ô phía trước, gây 110% sát thương vật lý cho mục tiêu cách 1 ô, gây 100% sát thương cho mục tiêu cách 2 ô và bỏ qua phòng ngự",
s3L4Desc="Tấn công mục tiêu 2 ô phía trước, gây 130% sát thương vật lý cho mục tiêu cách 1 ô, gây 120% sát thương cho mục tiêu cách 2 ô và bỏ qua phòng ngự",
s4L1Desc="Gây 80% sát thương cho mục tiêu, và gây 20% sát thương ra xung quanh mục tiêu, đồng thời gây hiệu ứng đẩy lùi",
s4L2Desc="Gây 90% sát thương cho mục tiêu, và gây 40% sát thương ra xung quanh mục tiêu",
s4L3Desc="Gây 100% sát thương cho mục tiêu, và gây 60% sát thương ra xung quanh mục tiêu",
s4L4Desc="Gây 100% sát thương cho mục tiêu, và gây 65% sát thương ra xung quanh mục tiêu. Kỹ năng cấp này chỉ có thể học qua sách kỹ năng cao cấp, cần mua ở thương thành hoặc đánh quái rơi ra.",
s5L1Desc="Xung phong và tung đòn va chạm vào kẻ thù, gây 100 điểm hiệu ứng giảm tốc cho mục tiêu, đồng thời gây hiệu ứng đẩy lùi, tối đa đẩy lùi 3 ô",
s5L2Desc="Xung phong và tung đòn va chạm vào kẻ thù, gây 200 điểm hiệu ứng giảm tốc cho mục tiêu, đồng thời gây hiệu ứng đẩy lùi, tối đa đẩy lùi 3 ô",
s5L3Desc="Xung phong và tung đòn va chạm vào kẻ thù, gây 300 điểm hiệu ứng giảm tốc cho mục tiêu, đồng thời gây hiệu ứng đẩy lùi, tối đa đẩy lùi 3 ô",
s5L4Desc="Tung đòn va chạm vào kẻ thù có cấp độ thấp hơn bản thân, gây hiệu ứng đẩy lùi cho mục tiêu, tối đa đẩy lùi 4 ô, đồng thời khiến mục tiêu cứng đờ một khoảng thời gian ngắn.",
s6L1Desc="Hòa liệt diễm vào đòn chém, gây sát thương chí mạng cho kẻ thù. Gây 200% sát thương vật lý cho mục tiêu",
s6L2Desc="Hòa liệt diễm vào đòn chém, gây sát thương chí mạng cho kẻ thù. Gây 240% sát thương vật lý cho mục tiêu",
s6L3Desc="Hòa liệt diễm vào đòn chém, gây sát thương chí mạng cho kẻ thù. Gây 280% sát thương vật lý cho mục tiêu",
s6L4Desc="Hòa liệt diễm vào đòn chém, gây sát thương chí mạng cho kẻ thù. Gây 300% sát thương vật lý cho mục tiêu",
s6L5Desc="Hòa liệt diễm vào đòn chém, gây sát thương chí mạng cho kẻ thù. Gây 400% tấn công vật lý cộng thêm 200 điểm sát thương vật lý cho mục tiêu.",
s7L1Desc="Phóng ra một quả cầu lửa, gây 65% tấn công ma pháp cộng thêm 36 điểm sát thương ma pháp cho mục tiêu. Tăng vĩnh viễn 3 điểm chính xác cho bản thân.",
s7L2Desc="Phóng ra một quả cầu lửa, gây 75% tấn công ma pháp cộng thêm 48 điểm sát thương ma pháp cho mục tiêu. Tăng vĩnh viễn 6 điểm chính xác cho bản thân.",
s7L3Desc="Phóng ra một quả cầu lửa, gây 95% tấn công ma pháp cộng thêm 60 điểm sát thương ma pháp cho mục tiêu. Tăng vĩnh viễn 12 điểm chính xác cho bản thân.",
s8L1Desc="Đẩy lùi kẻ thù trong phạm vi 1 ô xung quanh ra 2 ô, nhưng không có sát thương, chỉ hiệu quả với mục tiêu có cấp độ thấp hơn bản thân",
s8L2Desc="Đẩy lùi kẻ thù trong phạm vi 1 ô xung quanh ra 3 ô, nhưng không có sát thương, chỉ hiệu quả với mục tiêu có cấp độ thấp hơn bản thân",
s8L3Desc="Đẩy lùi kẻ thù trong phạm vi 1 ô xung quanh ra 4 ô, nhưng không có sát thương, chỉ hiệu quả với mục tiêu có cấp độ thấp hơn bản thân",
s8L4Desc="Đẩy lùi kẻ thù trong phạm vi 1 ô xung quanh ra 4 ô, tuy không có sát thương nhưng khiến mục tiêu cứng đờ trong thời gian ngắn, chỉ hiệu quả với mục tiêu có cấp độ thấp hơn bản thân.",
s9L1Desc="Triệu hồi một tia sét từ trên không tấn công mục tiêu, gây 80% tấn công ma pháp cộng thêm 45~85 điểm sát thương ma pháp",
s9L2Desc="Triệu hồi một tia sét từ trên không tấn công mục tiêu, gây 90% tấn công ma pháp cộng thêm 55~95 điểm sát thương ma pháp",
s9L3Desc="Triệu hồi một tia sét từ trên không tấn công mục tiêu, gây 100% tấn công ma pháp cộng thêm 65~110 điểm sát thương ma pháp",
s10L1Desc="Có 36% tỷ lệ truyền tống đến vị trí ngẫu nhiên trong bản đồ của khu an toàn đi qua gần nhất",
s10L2Desc="Có 55% tỷ lệ truyền tống đến vị trí ngẫu nhiên trong bản đồ của khu an toàn đi qua gần nhất",
s10L3Desc="Có 73% tỷ lệ truyền tống đến vị trí ngẫu nhiên trong bản đồ của khu an toàn đi qua gần nhất",
s11L1Desc="Một loại ma pháp tấn công phạm vi 3x3 tạo ra ngọn lửa nhiệt độ cao, gây 80% tấn công ma pháp cộng thêm 34 điểm sát thương ma pháp",
s11L2Desc="Một loại ma pháp tấn công phạm vi 3x3 tạo ra ngọn lửa nhiệt độ cao, gây 85% tấn công ma pháp cộng thêm 47 điểm sát thương ma pháp",
s11L3Desc="Một loại ma pháp tấn công phạm vi 3x3 tạo ra ngọn lửa nhiệt độ cao, gây 90% tấn công ma pháp cộng thêm 58 điểm sát thương ma pháp",
s12L1Desc="Thi triển một bức tường lửa hình chữ thập tại vị trí trỏ chuột, kẻ thù bước vào chịu 40% tấn công ma pháp cộng thêm 36 điểm, tấn công ma pháp càng cao, thời gian tường lửa càng dài. Không thể thi triển Hỏa Tường Thuật trong khu an toàn",
s12L2Desc="Thi triển một bức tường lửa hình chữ thập tại vị trí trỏ chuột, kẻ thù bước vào chịu 45% tấn công ma pháp cộng thêm 45 điểm, tấn công ma pháp càng cao, thời gian tường lửa càng dài. Không thể thi triển Hỏa Tường Thuật trong khu an toàn",
s12L3Desc="Thi triển một bức tường lửa hình chữ thập tại vị trí trỏ chuột, kẻ thù bước vào chịu 50% tấn công ma pháp cộng thêm 60 điểm, tấn công ma pháp càng cao, thời gian tường lửa càng dài. Không thể thi triển Hỏa Tường Thuật trong khu an toàn",
s12L4Desc="Thi triển một bức tường lửa hình chữ thập tại vị trí trỏ chuột, kẻ thù bước vào chịu 60% tấn công ma pháp cộng thêm 80 điểm, tấn công ma pháp càng cao, thời gian tường lửa càng dài. Không thể thi triển Hỏa Tường Thuật trong khu an toàn.",

s13L1Desc="Tức thì giải phóng ma pháp lôi quang tích tụ, khi dùng phát ra một luồng sáng chói lóa, gây 90% tấn công ma pháp cộng thêm 100 điểm sát thương ma pháp cho mục tiêu trong 8 ô phía trước",
s13L2Desc="Tức thì giải phóng ma pháp lôi quang tích tụ, khi dùng phát ra một luồng sáng chói lóa, gây 100% tấn công ma pháp cộng thêm 150 điểm sát thương ma pháp cho mục tiêu trong 8 ô phía trước",
s13L3Desc="Tức thì giải phóng ma pháp lôi quang tích tụ, khi dùng phát ra một luồng sáng chói lóa, gây 110% tấn công ma pháp cộng thêm 200 điểm sát thương ma pháp cho mục tiêu trong 8 ô phía trước",
s13L4Desc="Tức thì giải phóng ma pháp lôi quang tích tụ, khi dùng phát ra một luồng sáng chói lóa, gây 150% tấn công ma pháp cộng thêm 250 điểm sát thương ma pháp cho mục tiêu trong 8 ô phía trước.",
s14L1Desc="Gọi ra một trận cuồng phong thần thánh, sát thương tất cả kẻ thù vây quanh. Gây 80% tấn công ma pháp cộng thêm 30~60 điểm sát thương ma pháp cho quái vật trong phạm vi 5X5 xung quanh bản thân, nhưng chỉ gây sát thương rất thấp cho người chơi",
s14L2Desc="Gọi ra một trận cuồng phong thần thánh, sát thương tất cả kẻ thù vây quanh. Gây 90% tấn công ma pháp cộng thêm 60~90 điểm sát thương ma pháp cho quái vật trong phạm vi 5X5 xung quanh bản thân, nhưng chỉ gây sát thương rất thấp cho người chơi",
s14L3Desc="Gọi ra một trận cuồng phong thần thánh, sát thương tất cả kẻ thù vây quanh. Gây 100% tấn công ma pháp cộng thêm 90~120 điểm sát thương ma pháp cho quái vật trong phạm vi 5X5 xung quanh bản thân, nhưng chỉ gây sát thương rất thấp cho người chơi",
s15L1Desc="Ngưng tụ một khiên ma pháp giúp giảm 20% sát thương từ đòn tấn công vật lý và ma pháp. Khi bị tấn công, thời gian duy trì của khiên ma pháp sẽ giảm nhanh chóng",
s15L2Desc="Ngưng tụ một khiên ma pháp giúp giảm 30% sát thương từ đòn tấn công vật lý và ma pháp. Khi bị tấn công, thời gian duy trì của khiên ma pháp sẽ giảm nhanh chóng",
s15L3Desc="Ngưng tụ một khiên ma pháp giúp giảm 40% sát thương từ đòn tấn công vật lý và ma pháp. Khi bị tấn công, thời gian duy trì của khiên ma pháp sẽ giảm nhanh chóng",
s16L1Desc="Triệu hồi bão tuyết mạnh mẽ, gây 85% tấn công ma pháp cộng thêm 160 điểm sát thương ma pháp cho mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột",
s16L2Desc="Triệu hồi bão tuyết mạnh mẽ, gây 95% tấn công ma pháp cộng thêm 200 điểm sát thương ma pháp cho mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột",
s16L3Desc="Triệu hồi bão tuyết mạnh mẽ, gây 105% tấn công ma pháp cộng thêm 240 điểm sát thương ma pháp cho mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột",
s16L4Desc="Triệu hồi bão tuyết mạnh mẽ, gây 115% tấn công ma pháp cộng thêm 280 điểm sát thương ma pháp cho mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột.",
s16L5Desc="Triệu hồi bão tuyết mạnh mẽ, gây 140% tấn công ma pháp cộng thêm 320 điểm sát thương ma pháp cho mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột.",

s17L1Desc="Tại vị trí trỏ chuột, mỗi giây phục hồi 120 điểm sinh lực cho bản thân hoặc người khác. Tấn công đạo thuật càng cao, thời gian duy trì càng dài",
s17L2Desc="Tại vị trí trỏ chuột, mỗi giây phục hồi 180 điểm sinh lực cho bản thân hoặc người khác. Tấn công đạo thuật càng cao, thời gian duy trì càng dài",
s17L3Desc="Tại vị trí trỏ chuột, mỗi giây phục hồi 270 điểm sinh lực cho bản thân hoặc người khác. Tấn công đạo thuật càng cao, thời gian duy trì càng dài",
s17L4Desc="Tại vị trí trỏ chuột, mỗi giây phục hồi 540 điểm sinh lực cho bản thân hoặc người khác. Tấn công đạo thuật càng cao, thời gian duy trì càng dài.",

s18L1Desc="Kỹ năng bị động; Tăng 3 điểm chính xác, giảm 10% sát thương từ tấn công vật lý và ma pháp",
s18L2Desc="Kỹ năng bị động; Tăng 6 điểm chính xác, giảm 15% sát thương từ tấn công vật lý và ma pháp",
s18L3Desc="Kỹ năng bị động; Tăng 12 điểm chính xác, giảm 20% sát thương từ tấn công vật lý và ma pháp",
s18L4Desc="Kỹ năng bị động; Tăng 12 điểm chính xác, tấn công đạo thuật tối đa 500 điểm, giảm 20% sát thương từ tấn công vật lý và ma pháp",

s19L1Desc="Dựa trên tài liệu đã trang bị, khiến mục tiêu rơi vào trạng thái liên tục mất máu và giảm phòng ngự.<(c0xFFFF0000)Nếu không trang bị tài liệu nào, kỹ năng này sẽ không có hiệu quả.>Tài liệu thi triển có thể mua ở chỗ Thương Nhân Tạp Hóa.",
s19L2Desc="Dựa trên tài liệu đã trang bị, khiến mục tiêu rơi vào trạng thái liên tục mất máu và giảm phòng ngự.<(c0xFFFF0000)Nếu không trang bị tài liệu nào, kỹ năng này sẽ không có hiệu quả.>Tài liệu thi triển có thể mua ở chỗ Thương Nhân Tạp Hóa.",
s19L3Desc="Dựa trên tài liệu đã trang bị, khiến mục tiêu rơi vào trạng thái liên tục mất máu và giảm phòng ngự.<(c0xFFFF0000)Nếu không trang bị tài liệu nào, kỹ năng này sẽ không có hiệu quả.>Tài liệu thi triển có thể mua ở chỗ Thương Nhân Tạp Hóa.",
s20L1Desc="Ma pháp tầm xa, dùng bùa chú để tấn công kẻ thù. Gây 100% tấn công đạo thuật cộng thêm 22~27 điểm sát thương cho mục tiêu",
s20L2Desc="Ma pháp tầm xa, dùng bùa chú để tấn công kẻ thù. Gây 110% tấn công đạo thuật cộng thêm 28~32 điểm sát thương cho mục tiêu",
s20L3Desc="Ma pháp tầm xa, dùng bùa chú để tấn công kẻ thù. Gây 120% tấn công đạo thuật cộng thêm 33~40 điểm sát thương cho mục tiêu",
s20L4Desc="Ma pháp tầm xa, dùng bùa chú để tấn công kẻ thù. Gây 130% tấn công đạo thuật cộng thêm 50~95 điểm sát thương cho mục tiêu.",
s20L5Desc="Ma pháp tầm xa, dùng bùa chú để tấn công kẻ thù. Gây 140% tấn công đạo thuật cộng thêm 58~110 điểm sát thương cho mục tiêu.",
s21L1Desc="Triệu hồi một hộ vệ cấp 1 chiến đấu cho chủ nhân, giới hạn triệu hồi là 2 con. Qua việc đánh quái, hộ vệ cao nhất có thể lên cấp 7. Nhưng sau khi nhân vật chết, đăng xuất, cấp độ sẽ thiết lập lại. (ctrl+a để điều khiển hành động của thần thú)",
s21L2Desc="Triệu hồi một hộ vệ cấp 2 chiến đấu cho chủ nhân, giới hạn triệu hồi là 2 con. Qua việc đánh quái, hộ vệ cao nhất có thể lên cấp 7. Nhưng sau khi nhân vật chết, đăng xuất, cấp độ sẽ thiết lập lại. (ctrl+a để điều khiển hành động của thần thú)",
s21L3Desc="Triệu hồi một hộ vệ cấp 3 chiến đấu cho chủ nhân, giới hạn triệu hồi là 2 con. Qua việc đánh quái, hộ vệ cao nhất có thể lên cấp 7. Nhưng sau khi nhân vật chết, đăng xuất, cấp độ sẽ thiết lập lại. (ctrl+a để điều khiển hành động của thần thú)",
s22L1Desc="Ẩn giấu hình dáng bản thân khiến quái vật không thể phát hiện. Duy trì 20 giây. Thời gian độn ẩn sẽ tăng lên theo mức tăng tấn công đạo thuật của bản thân",
s22L2Desc="Ẩn giấu hình dáng bản thân khiến quái vật không thể phát hiện. Duy trì 25 giây. Thời gian độn ẩn sẽ tăng lên theo mức tăng tấn công đạo thuật của bản thân",
s22L3Desc="Ẩn giấu hình dáng bản thân khiến quái vật không thể phát hiện. Duy trì 30 giây. Thời gian độn ẩn sẽ tăng lên theo mức tăng tấn công đạo thuật của bản thân",
s23L1Desc="Thuật ẩn thân mạnh mẽ hơn, có thể ẩn giấu tất cả người chơi trong phạm vi 3X3. Duy trì 20 giây. Thời gian độn ẩn sẽ tăng lên theo mức tăng tấn công đạo thuật của bản thân",
s23L2Desc="Thuật ẩn thân mạnh mẽ hơn, có thể ẩn giấu tất cả người chơi trong phạm vi 3X3. Duy trì 25 giây. Thời gian độn ẩn sẽ tăng lên theo mức tăng tấn công đạo thuật của bản thân",
s23L3Desc="Thuật ẩn thân mạnh mẽ hơn, có thể ẩn giấu tất cả người chơi trong phạm vi 3X3. Duy trì 30 giây. Thời gian độn ẩn sẽ tăng lên theo mức tăng tấn công đạo thuật của bản thân",
s24L1Desc="Sức mạnh chúc phúc, khiến phòng ngự ma pháp tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 8+cấp độ người thi triển*2 điểm.",
s24L2Desc="Sức mạnh chúc phúc, khiến phòng ngự ma pháp tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 16+cấp độ người thi triển*2 điểm.",
s24L3Desc="Sức mạnh chúc phúc, khiến phòng ngự ma pháp tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 24+cấp độ người thi triển*2 điểm.",
s24L4Desc="Sức mạnh chúc phúc, khiến phòng ngự ma pháp tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 124+cấp độ người thi triển*2 điểm.",
s25L1Desc="Sức mạnh chúc phúc, khiến phòng ngự vật lý tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 8+cấp độ người thi triển*2 điểm.",
s25L2Desc="Sức mạnh chúc phúc, khiến phòng ngự vật lý tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 16+cấp độ người thi triển*2 điểm.",
s25L3Desc="Sức mạnh chúc phúc, khiến phòng ngự vật lý tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 24+cấp độ người thi triển*2 điểm.",
s25L4Desc="Sức mạnh chúc phúc, khiến phòng ngự vật lý tối đa của mục tiêu trong phạm vi 5x5 tại vị trí trỏ chuột tăng thêm 240+cấp độ người thi triển*2 điểm.",

s26L1Desc="Ma pháp trị liệu mạnh mẽ, có thể phục hồi sinh lực cho bản thân và tất cả người chơi xung quanh, trị liệu mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột mỗi giây phục hồi 120 điểm sinh lực. Tấn công đạo thuật càng cao, thời gian duy trì càng dài",
s26L2Desc="Ma pháp trị liệu mạnh mẽ, có thể phục hồi sinh lực cho bản thân và tất cả người chơi xung quanh, trị liệu mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột mỗi giây phục hồi 140 điểm sinh lực. Tấn công đạo thuật càng cao, thời gian duy trì càng dài",
s26L3Desc="Ma pháp trị liệu mạnh mẽ, có thể phục hồi sinh lực cho bản thân và tất cả người chơi xung quanh, trị liệu mục tiêu trong phạm vi 3x3 tại vị trí trỏ chuột mỗi giây phục hồi 160 điểm sinh lực. Tấn công đạo thuật càng cao, thời gian duy trì càng dài",
s27L1Desc="Triệu hồi một thần thú cấp 1 chiến đấu cho chủ nhân, giới hạn triệu hồi là 2 con. Qua việc đánh quái, thần thú cao nhất có thể lên cấp 7. Nhưng sau khi nhân vật chết, đăng xuất, cấp độ sẽ thiết lập lại. (ctrl+a để điều khiển hành động của thần thú)",
s27L2Desc="Triệu hồi một thần thú cấp 2 chiến đấu cho chủ nhân, giới hạn triệu hồi là 2 con. Qua việc đánh quái, thần thú cao nhất có thể lên cấp 7. Nhưng sau khi nhân vật chết, đăng xuất, cấp độ sẽ thiết lập lại. (ctrl+a để điều khiển hành động của thần thú)",
s27L3Desc="Triệu hồi một thần thú cấp 3 chiến đấu cho chủ nhân, giới hạn triệu hồi là 2 con. Qua việc đánh quái, thần thú cao nhất có thể lên cấp 7. Nhưng sau khi nhân vật chết, đăng xuất, cấp độ sẽ thiết lập lại. (ctrl+a để điều khiển hành động của thần thú)",



s56L1Desc="Hiệu quả: <(c0xFF66ccff)Gây 9557 điểm sát thương cho quái vật trong phạm vi 22*22>\\Thuộc tính tăng: <(c0xFFff33cc)Phòng ngự vật lý, ma pháp +5 trong 1 phút>\\Yêu cầu nâng cấp: <(c0xFFcccccc)Mỗi cấp tu luyện xong 10 giai sẽ thăng cấp tiếp theo, tổng cộng 5 cấp>",
s56L2Desc="Hiệu quả: <(c0xFF66ccff)Gây 10098 điểm sát thương cho quái vật trong phạm vi 22*22>\\Thuộc tính tăng: <(c0xFFff33cc)Phòng ngự vật lý, ma pháp +5 trong 1 phút>\\Yêu cầu nâng cấp: <(c0xFFcccccc)Mỗi cấp tu luyện xong 10 giai sẽ thăng cấp tiếp theo, tổng cộng 5 cấp>",
s56L3Desc="Hiệu quả: <(c0xFF66ccff)Gây 10639 điểm sát thương cho quái vật trong phạm vi 22*22>\\Thuộc tính tăng: <(c0xFFff33cc)Phòng ngự vật lý, ma pháp +5 trong 1 phút>\\Yêu cầu nâng cấp: <(c0xFFcccccc)Mỗi cấp tu luyện xong 10 giai sẽ thăng cấp tiếp theo, tổng cộng 5 cấp>",
s56L4Desc="Hiệu quả: <(c0xFF66ccff)Gây 11180 điểm sát thương cho quái vật trong phạm vi 22*22>\\Thuộc tính tăng: <(c0xFFff33cc)Phòng ngự vật lý, ma pháp +5 trong 1 phút>\\Yêu cầu nâng cấp: <(c0xFFcccccc)Mỗi cấp tu luyện xong 10 giai sẽ thăng cấp tiếp theo, tổng cộng 5 cấp>",
s56L5Desc="Hiệu quả: <(c0xFF66ccff)Gây 11721 điểm sát thương cho quái vật trong phạm vi 22*22>\\Thuộc tính tăng: <(c0xFFff33cc)Phòng ngự vật lý, ma pháp +5 trong 1 phút>\\Yêu cầu nâng cấp: <(c0xFFcccccc)Mỗi cấp tu luyện xong 10 giai sẽ thăng cấp tiếp theo, tổng cộng 5 cấp>",
s56L6Desc="Hiệu quả: <(c0xFF66ccff)Gây 12262 điểm sát thương cho quái vật trong phạm vi 22*22>\\Thuộc tính tăng: <(c0xFFff33cc)Phòng ngự vật lý, ma pháp +5 trong 1 phút>\\Yêu cầu nâng cấp: <(c0xFFcccccc)Mỗi cấp tu luyện xong 10 giai sẽ thăng cấp tiếp theo, tổng cộng 5 cấp>",
